"Date","Price","Open","High","Low","Change %"
"Apr 19, 2015","1.5189","1.4959","1.5191","1.4855","1.52%"
"Apr 12, 2015","1.4962","1.4634","1.5055","1.4566","2.26%"
"Apr 05, 2015","1.4631","1.4922","1.4983","1.4587","-1.94%"
"Mar 29, 2015","1.4921","1.4879","1.4945","1.4739","0.30%"
"Mar 22, 2015","1.4877","1.4970","1.4995","1.4796","-0.49%"
"Mar 15, 2015","1.4951","1.4743","1.5149","1.4634","1.40%"
"Mar 08, 2015","1.4744","1.5039","1.5137","1.4698","-1.95%"
"Mar 01, 2015","1.5037","1.5437","1.5446","1.5030","-2.57%"
"Feb 22, 2015","1.5434","1.5395","1.5554","1.5332","0.22%"
"Feb 15, 2015","1.5400","1.5399","1.5480","1.5316","0.01%"
"Feb 08, 2015","1.5399","1.5247","1.5425","1.5197","1.00%"
"Feb 01, 2015","1.5246","1.5087","1.5354","1.4989","1.17%"
"Jan 25, 2015","1.5069","1.4988","1.5225","1.4975","0.53%"
"Jan 18, 2015","1.4990","1.5170","1.5213","1.4950","-1.06%"
"Jan 11, 2015","1.5151","1.5186","1.5272","1.5075","-0.06%"
"Jan 04, 2015","1.5160","1.5333","1.5338","1.5034","-1.10%"
"Dec 28, 2014","1.5328","1.5568","1.5621","1.5328","-1.47%"
"Dec 21, 2014","1.5556","1.5620","1.5668","1.5487","-0.49%"
"Dec 14, 2014","1.5632","1.5721","1.5788","1.5546","-0.56%"
"Dec 07, 2014","1.5720","1.5588","1.5758","1.5541","0.88%"
"Nov 30, 2014","1.5583","1.5651","1.5765","1.5570","-0.42%"
"Nov 23, 2014","1.5649","1.5659","1.5828","1.5615","-0.04%"
"Nov 16, 2014","1.5655","1.5671","1.5738","1.5591","-0.10%"
"Nov 09, 2014","1.5670","1.5876","1.5946","1.5594","-1.29%"
"Nov 02, 2014","1.5874","1.5978","1.6023","1.5791","-0.78%"
"Oct 26, 2014","1.5998","1.6099","1.6184","1.5943","-0.58%"
"Oct 19, 2014","1.6091","1.6097","1.6186","1.5996","-0.02%"
"Oct 12, 2014","1.6095","1.6078","1.6128","1.5876","0.11%"
"Oct 05, 2014","1.6078","1.5959","1.6228","1.5943","0.71%"
"Sep 28, 2014","1.5964","1.6246","1.6289","1.5953","-1.74%"
"Sep 21, 2014","1.6247","1.6289","1.6417","1.6237","-0.25%"
"Sep 14, 2014","1.6288","1.6272","1.6526","1.6162","0.12%"
"Sep 07, 2014","1.6268","1.6202","1.6280","1.6053","-0.36%"
"Aug 31, 2014","1.6327","1.6595","1.6646","1.6284","-1.64%"
"Aug 24, 2014","1.6599","1.6570","1.6615","1.6526","0.17%"
"Aug 17, 2014","1.6571","1.6723","1.6741","1.6561","-0.75%"
"Aug 10, 2014","1.6697","1.6784","1.6845","1.6657","-0.45%"
"Aug 03, 2014","1.6773","1.6821","1.6889","1.6765","-0.29%"
"Jul 27, 2014","1.6821","1.6971","1.7001","1.6814","-0.90%"
"Jul 20, 2014","1.6974","1.7093","1.7102","1.6962","-0.67%"
"Jul 13, 2014","1.7088","1.7118","1.7193","1.7036","-0.22%"
"Jul 06, 2014","1.7125","1.7163","1.7171","1.7085","-0.20%"
"Jun 29, 2014","1.7160","1.7020","1.7181","1.7007","0.73%"
"Jun 22, 2014","1.7035","1.7014","1.7053","1.6951","0.14%"
"Jun 15, 2014","1.7012","1.6971","1.7065","1.6926","0.28%"
"Jun 08, 2014","1.6965","1.6796","1.6993","1.6739","0.96%"
"Jun 01, 2014","1.6803","1.6762","1.6846","1.6699","0.30%"
"May 25, 2014","1.6752","1.6835","1.6883","1.6693","-0.48%"
"May 18, 2014","1.6832","1.6811","1.6923","1.6803","0.10%"
"May 11, 2014","1.6816","1.6840","1.6905","1.6731","-0.21%"
"May 04, 2014","1.6851","1.6869","1.6998","1.6832","-0.09%"
"Apr 27, 2014","1.6866","1.6791","1.6920","1.6777","0.36%"
"Apr 20, 2014","1.6805","1.6787","1.6841","1.6762","-0.01%"
"Apr 13, 2014","1.6807","1.6710","1.6844","1.6683","0.44%"
"Apr 06, 2014","1.6733","1.6574","1.6822","1.6563","0.92%"
"Mar 30, 2014","1.6580","1.6649","1.6685","1.6554","-0.35%"
"Mar 23, 2014","1.6638","1.6490","1.6653","1.6461","0.92%"
"Mar 16, 2014","1.6486","1.6643","1.6667","1.6475","-0.96%"
"Mar 09, 2014","1.6646","1.6720","1.6749","1.6569","-0.39%"
"Mar 02, 2014","1.6712","1.6746","1.6786","1.6640","-0.20%"
"Feb 23, 2014","1.6745","1.6622","1.6770","1.6583","0.77%"
"Feb 16, 2014","1.6617","1.6745","1.6825","1.6612","-0.77%"
"Feb 09, 2014","1.6746","1.6412","1.6758","1.6382","2.04%"
"Feb 02, 2014","1.6412","1.6446","1.6447","1.6253","-0.15%"
"Jan 26, 2014","1.6436","1.6484","1.6627","1.6428","-0.29%"
"Jan 19, 2014","1.6483","1.6421","1.6669","1.6397","0.36%"
"Jan 12, 2014","1.6424","1.6482","1.6511","1.6312","-0.35%"
"Jan 05, 2014","1.6482","1.6412","1.6521","1.6340","0.40%"
"Dec 29, 2013","1.6417","1.6469","1.6606","1.6397","-0.39%"
"Dec 22, 2013","1.6481","1.6332","1.6580","1.6322","0.89%"
"Dec 15, 2013","1.6336","1.6300","1.6485","1.6221","0.23%"
"Dec 08, 2013","1.6299","1.6349","1.6467","1.6262","-0.31%"
"Dec 01, 2013","1.6349","1.6363","1.6444","1.6299","-0.11%"
"Nov 24, 2013","1.6367","1.6228","1.6386","1.6134","0.87%"
"Nov 17, 2013","1.6226","1.6123","1.6229","1.6060","0.65%"
"Nov 10, 2013","1.6121","1.6007","1.6136","1.5855","0.64%"
"Nov 03, 2013","1.6018","1.5925","1.6119","1.5904","0.58%"
"Oct 27, 2013","1.5926","1.6165","1.6209","1.5910","-1.48%"
"Oct 20, 2013","1.6166","1.6167","1.6258","1.6116","-0.01%"
"Oct 13, 2013","1.6167","1.5953","1.6226","1.5895","1.32%"
"Oct 06, 2013","1.5956","1.6018","1.6125","1.5914","-0.34%"
"Sep 29, 2013","1.6010","1.6118","1.6261","1.6005","-0.80%"
"Sep 22, 2013","1.6139","1.6026","1.6148","1.5955","0.83%"
"Sep 15, 2013","1.6006","1.5873","1.6164","1.5873","0.83%"
"Sep 08, 2013","1.5875","1.5636","1.5886","1.5606","1.56%"
"Sep 01, 2013","1.5631","1.5512","1.5682","1.5506","0.78%"
"Aug 25, 2013","1.5510","1.5575","1.5613","1.5428","-0.37%"
"Aug 18, 2013","1.5568","1.5618","1.5717","1.5538","-0.40%"
"Aug 11, 2013","1.5630","1.5503","1.5658","1.5424","0.84%"
"Aug 04, 2013","1.5500","1.5288","1.5575","1.5207","1.38%"
"Jul 28, 2013","1.5289","1.5379","1.5415","1.5103","-0.60%"
"Jul 21, 2013","1.5381","1.5267","1.5435","1.5258","0.74%"
"Jul 14, 2013","1.5268","1.5107","1.5282","1.5028","1.06%"
"Jul 07, 2013","1.5108","1.4903","1.5225","1.4814","1.47%"
"Jun 30, 2013","1.4889","1.5201","1.5304","1.4858","-2.12%"
"Jun 23, 2013","1.5212","1.5401","1.5478","1.5165","-1.34%"
"Jun 16, 2013","1.5418","1.5713","1.5754","1.5369","-1.83%"
"Jun 09, 2013","1.5705","1.5525","1.5736","1.5495","0.94%"
"Jun 02, 2013","1.5558","1.5192","1.5684","1.5189","2.36%"
"May 26, 2013","1.5199","1.5126","1.5240","1.5008","0.48%"
"May 19, 2013","1.5127","1.5173","1.5281","1.5013","-0.29%"
"May 12, 2013","1.5171","1.5341","1.5386","1.5157","-1.26%"
"May 05, 2013","1.5365","1.5572","1.5599","1.5313","-1.34%"
"Apr 28, 2013","1.5573","1.5485","1.5606","1.5470","0.61%"
"Apr 21, 2013","1.5479","1.5233","1.5498","1.5197","1.62%"
"Apr 14, 2013","1.5232","1.5347","1.5386","1.5216","-0.72%"
"Apr 07, 2013","1.5342","1.5306","1.5413","1.5238","0.05%"
"Mar 31, 2013","1.5335","1.5207","1.5364","1.5034","0.87%"
"Mar 24, 2013","1.5203","1.5232","1.5269","1.5093","-0.18%"
"Mar 17, 2013","1.5231","1.5113","1.5249","1.5027","0.76%"
"Mar 10, 2013","1.5116","1.4918","1.5179","1.4832","1.33%"
"Mar 03, 2013","1.4917","1.5032","1.5201","1.4888","-0.80%"
"Feb 24, 2013","1.5038","1.5135","1.5221","1.4987","-0.82%"
"Feb 17, 2013","1.5163","1.5519","1.5520","1.5136","-2.29%"
"Feb 10, 2013","1.5518","1.5793","1.5812","1.5463","-1.77%"
"Feb 03, 2013","1.5798","1.5695","1.5847","1.5631","0.68%"
"Jan 27, 2013","1.5692","1.5802","1.5880","1.5675","-0.70%"
"Jan 20, 2013","1.5803","1.5873","1.5895","1.5748","-0.41%"
"Jan 13, 2013","1.5868","1.6129","1.6156","1.5854","-1.64%"
"Jan 06, 2013","1.6132","1.6075","1.6179","1.5993","0.38%"
"Dec 30, 2012","1.6071","1.6170","1.6380","1.6008","-0.61%"
"Dec 23, 2012","1.6170","1.6172","1.6208","1.6067","-0.01%"
"Dec 16, 2012","1.6172","1.6187","1.6309","1.6153","0.02%"
"Dec 09, 2012","1.6168","1.6033","1.6179","1.6014","0.81%"
"Dec 02, 2012","1.6038","1.6013","1.6133","1.6003","0.16%"
"Nov 25, 2012","1.6012","1.6033","1.6065","1.5962","-0.13%"
"Nov 18, 2012","1.6033","1.5884","1.6054","1.5884","0.93%"
"Nov 11, 2012","1.5886","1.5898","1.5918","1.5829","-0.07%"
"Nov 04, 2012","1.5897","1.6024","1.6046","1.5891","-0.80%"
"Oct 28, 2012","1.6025","1.6117","1.6177","1.6006","-0.50%"
"Oct 21, 2012","1.6105","1.6007","1.6146","1.5912","0.62%"
"Oct 14, 2012","1.6005","1.6072","1.6180","1.5997","-0.42%"
"Oct 07, 2012","1.6072","1.6135","1.6144","1.5975","-0.40%"
"Sep 30, 2012","1.6137","1.6163","1.6220","1.6067","-0.18%"
"Sep 23, 2012","1.6166","1.6233","1.6275","1.6115","-0.39%"
"Sep 16, 2012","1.6229","1.6216","1.6311","1.6162","0.07%"
"Sep 09, 2012","1.6217","1.6007","1.6260","1.5960","1.32%"
"Sep 02, 2012","1.6006","1.5867","1.6035","1.5825","0.88%"
"Aug 26, 2012","1.5867","1.5814","1.5897","1.5753","0.35%"
"Aug 19, 2012","1.5812","1.5696","1.5913","1.5677","0.71%"
"Aug 12, 2012","1.5701","1.5673","1.5747","1.5636","0.07%"
"Aug 05, 2012","1.5690","1.5646","1.5701","1.5545","0.30%"
"Jul 29, 2012","1.5643","1.5740","1.5754","1.5490","-0.67%"
"Jul 22, 2012","1.5749","1.5608","1.5770","1.5459","0.82%"
"Jul 15, 2012","1.5621","1.5568","1.5737","1.5518","0.30%"
"Jul 08, 2012","1.5575","1.5482","1.5584","1.5393","0.55%"
"Jul 01, 2012","1.5490","1.5699","1.5723","1.5461","-1.39%"
"Jun 24, 2012","1.5709","1.5589","1.5718","1.5486","0.76%"
"Jun 17, 2012","1.5590","1.5729","1.5779","1.5556","-0.81%"
"Jun 10, 2012","1.5717","1.5538","1.5729","1.5455","1.57%"
"Jun 03, 2012","1.5474","1.5371","1.5602","1.5322","0.72%"
"May 27, 2012","1.5363","1.5676","1.5719","1.5267","-1.90%"
"May 20, 2012","1.5661","1.5814","1.5850","1.5630","-0.99%"
"May 13, 2012","1.5817","1.6059","1.6125","1.5732","-1.59%"
"May 06, 2012","1.6073","1.6155","1.6200","1.6063","-0.51%"
"Apr 29, 2012","1.6155","1.6273","1.6303","1.6141","-0.69%"
"Apr 22, 2012","1.6267","1.6132","1.6281","1.6075","0.87%"
"Apr 15, 2012","1.6126","1.5854","1.6151","1.5818","1.75%"
"Apr 08, 2012","1.5848","1.5891","1.5986","1.5809","-0.24%"
"Apr 01, 2012","1.5886","1.6017","1.6063","1.5803","-0.79%"
"Mar 25, 2012","1.6013","1.5878","1.6039","1.5801","0.91%"
"Mar 18, 2012","1.5868","1.5844","1.5925","1.5772","0.15%"
"Mar 11, 2012","1.5845","1.5676","1.5862","1.5603","1.08%"
"Mar 04, 2012","1.5676","1.5837","1.5883","1.5661","-1.02%"
"Feb 26, 2012","1.5837","1.5884","1.5991","1.5799","-0.32%"
"Feb 19, 2012","1.5888","1.5848","1.5901","1.5648","0.32%"
"Feb 12, 2012","1.5837","1.5776","1.5863","1.5643","0.62%"
"Feb 05, 2012","1.5739","1.5816","1.5930","1.5730","-0.47%"
"Jan 29, 2012","1.5813","1.5719","1.5883","1.5653","0.50%"
"Jan 22, 2012","1.5734","1.5551","1.5741","1.5516","1.05%"
"Jan 15, 2012","1.5571","1.5281","1.5572","1.5277","1.65%"
"Jan 08, 2012","1.5319","1.5419","1.5502","1.5235","-0.75%"
"Jan 01, 2012","1.5434","1.5501","1.5670","1.5375","-0.66%"
